15,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
15,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
15,3,9,18,6,12,24,8,16,4,20,10,5,25,1,11,22,2,14,7,21
15,3,9,18,6,12,24,8,16,4,20,10,5,25,1,21,7,14,2,22,11
15,3,21,7,14,2,22,11,1,9,18,6,12,24,8,16,4,20,10,5,25
15,3,21,7,14,2,22,11,1,25,5,10,20,4,16,8,24,12,6,18,9
15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,13
15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,17
15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,19
15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,23
15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,25
15,5,25,1,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
15,5,25,1,11,22,2,10,20,4,16,8,24,12,6,18,9,3,21,7,14
15,5,25,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10
15,5,25,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,2,22,11
17,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11
17,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
17,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
17,1,11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
17,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
17,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
19,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11
19,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
19,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
19,1,11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
19,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
19,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
21,7,14,1,11,22,2,10,20,4,16,8,24,12,6,18,9,3,15,5,25
21,7,14,1,25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,22,11
