22,11,1,25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,26,13
22,11,1,25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,26,13
22,11,1,25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,26,13
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,1,11,22,2,26,13
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,1,13,26,2,22,11
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,22,11,1,13,26
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,22,11,1,26,13
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,26,13,1,11,22
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,26,13,1,22,11
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,1,11,22,2,26,13
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,1,13,26,2,22,11
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,22,11,1,13,26
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,22,11,1,26,13
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,26,13,1,11,22
25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,26,13,1,22,11
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,1,11,22,2,26,13
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,1,13,26,2,22,11
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,22,11,1,13,26
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,22,11,1,26,13
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,26,13,1,11,22
25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,26,13,1,22,11
25,5,20,10,30,15,3,21,7,14,28,4,16,8,24,12,6,18,9,27,1,11,22,2,26,13
25,5,20,10,30,15,3,21,7,14,28,4,16,8,24,12,6,18,9,27,1,13,26,2,22,11
25,5,20,10,30,15,3,27,9,18,6,12,24,8,16,4,28,14,7,21,1,11,22,2,26,13
25,5,20,10,30,15,3,27,9,18,6,12,24,8,16,4,28,14,7,21,1,13,26,2,22,11
26,13,1,11,22,2,14,28,7,21,3,27,9,18,6,12,24,8,16,4,20,10,30,15,5,25
26,13,1,11,22,2,16,8,24,12,6,18,9,27,3,21,7,14,28,4,20,10,30,15,5,25
26,13,1,11,22,2,28,14,7,21,3,27,9,18,6,12,24,8,16,4,20,10,30,15,5,25
26,13,1,25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,14,28,2,22,11
26,13,1,25,5,15,30,10,20,4,16,8,24,12,6,18,9,27,3,21,7,28,14,2,22,11
26,13,1,25,5,15,30,10,20,4,28,14,7,21,3,27,9,18,6,12,24,8,16,2,22,11
27,9,18,6,12,24,8,16,4,28,14,7,21,3,15,30,10,20,5,25,1,11,22,2,26,13
27,9,18,6,12,24,8,16,4,28,14,7,21,3,15,30,10,20,5,25,1,13,26,2,22,11
28,14,7,21,3,27,9,18,6,12,24,8,16,4,20,10,30,15,5,25,1,11,22,2,26,13
28,14,7,21,3,27,9,18,6,12,24,8,16,4,20,10,30,15,5,25,1,13,26,2,22,11
