9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,1,11,22,2,26,13
9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,1,13,26,2,22,11
9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11,1,13,26
9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11,1,26,13
9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,26,13,1,11,22
9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,26,13,1,22,11
11,22,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,26,13
11,22,1,13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
11,22,1,13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
11,22,1,13,26,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
11,22,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,26,13
11,22,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,26,13
11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15,1,13,26
11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15,1,26,13
11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25,1,13,26
11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25,1,26,13
11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9,1,13,26
11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9,1,26,13
11,22,2,26,13,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14
11,22,2,26,13,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
11,22,2,26,13,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
11,22,2,26,13,1,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
11,22,2,26,13,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14
11,22,2,26,13,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14
13,26,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11
13,26,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
13,26,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
13,26,1,11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
13,26,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
13,26,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15,1,11,22
13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15,1,22,11
13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25,1,11,22
13,26,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25,1,22,11
13,26,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9,1,11,22
13,26,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9,1,22,11
13,26,2,22,11,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14
13,26,2,22,11,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
13,26,2,22,11,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
13,26,2,22,11,1,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
13,26,2,22,11,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14
13,26,2,22,11,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14
