6,12,4,8,1,7,14,2,10,5,15,3,9
6,12,4,8,1,9,3,15,5,10,2,14,7
6,12,4,8,2,10,5,15,3,9,1,7,14
6,12,4,8,2,10,5,15,3,9,1,14,7
6,12,4,8,2,14,7,1,9,3,15,5,10
6,12,4,8,2,14,7,1,10,5,15,3,9
7,14,1,6,12,4,8,2,10,5,15,3,9
7,14,1,8,4,12,6,2,10,5,15,3,9
7,14,1,9,3,6,12,4,8,2,10,5,15
7,14,1,9,3,15,5,10,2,6,12,4,8
7,14,1,9,3,15,5,10,2,8,4,12,6
7,14,1,15,5,10,2,8,4,12,6,3,9
7,14,2,6,12,4,8,1,9,3,15,5,10
7,14,2,6,12,4,8,1,10,5,15,3,9
7,14,2,8,4,12,6,1,9,3,15,5,10
7,14,2,8,4,12,6,1,10,5,15,3,9
7,14,2,8,4,12,6,3,9,1,10,5,15
7,14,2,8,4,12,6,3,9,1,15,5,10
7,14,2,8,4,12,6,3,15,5,10,1,9
7,14,2,8,4,12,6,3,15,5,10,1,11
7,14,2,8,4,12,6,3,15,5,10,1,13
7,14,2,10,5,15,1,8,4,12,6,3,9
7,14,2,10,5,15,1,9,3,6,12,4,8
7,14,2,10,5,15,3,6,12,4,8,1,9
7,14,2,10,5,15,3,6,12,4,8,1,11
7,14,2,10,5,15,3,6,12,4,8,1,13
7,14,2,10,5,15,3,9,1,6,12,4,8
7,14,2,10,5,15,3,9,1,8,4,12,6
8,4,12,6,1,7,14,2,10,5,15,3,9
8,4,12,6,1,9,3,15,5,10,2,14,7
8,4,12,6,2,10,5,15,3,9,1,7,14
8,4,12,6,2,10,5,15,3,9,1,14,7
8,4,12,6,2,14,7,1,9,3,15,5,10
8,4,12,6,2,14,7,1,10,5,15,3,9
8,4,12,6,3,9,1,7,14,2,10,5,15
8,4,12,6,3,9,1,15,5,10,2,14,7
8,4,12,6,3,15,5,10,2,14,7,1,9
8,4,12,6,3,15,5,10,2,14,7,1,11
8,4,12,6,3,15,5,10,2,14,7,1,13
9,1,7,14,2,8,4,12,6,3,15,5,10
9,1,7,14,2,10,5,15,3,6,12,4,8
9,1,8,4,12,6,3,15,5,10,2,14,7
9,1,10,5,15,3,6,12,4,8,2,14,7
9,3,6,12,4,8,1,7,14,2,10,5,15
9,3,6,12,4,8,1,15,5,10,2,14,7
9,3,6,12,4,8,2,10,5,15,1,7,14
9,3,6,12,4,8,2,10,5,15,1,14,7
9,3,6,12,4,8,2,14,7,1,10,5,15
9,3,6,12,4,8,2,14,7,1,15,5,10
9,3,15,5,10,1,6,12,4,8,2,14,7
9,3,15,5,10,1,7,14,2,6,12,4,8
9,3,15,5,10,1,7,14,2,8,4,12,6
9,3,15,5,10,1,8,4,12,6,2,14,7
9,3,15,5,10,2,6,12,4,8,1,7,14
9,3,15,5,10,2,6,12,4,8,1,14,7
9,3,15,5,10,2,8,4,12,6,1,7,14
9,3,15,5,10,2,8,4,12,6,1,14,7
9,3,15,5,10,2,14,7,1,6,12,4,8
9,3,15,5,10,2,14,7,1,8,4,12,6
10,5,15,1,7,14,2,8,4,12,6,3,9
10,5,15,1,9,3,6,12,4,8,2,14,7
10,5,15,3,6,12,4,8,2,14,7,1,9
10,5,15,3,6,12,4,8,2,14,7,1,11
10,5,15,3,6,12,4,8,2,14,7,1,13
10,5,15,3,9,1,6,12,4,8,2,14,7
10,5,15,3,9,1,7,14,2,6,12,4,8
10,5,15,3,9,1,7,14,2,8,4,12,6
10,5,15,3,9,1,8,4,12,6,2,14,7
11,1,7,14,2,8,4,12,6,3,15,5,10
11,1,7,14,2,10,5,15,3,6,12,4,8
11,1,8,4,12,6,3,15,5,10,2,14,7
11,1,10,5,15,3,6,12,4,8,2,14,7
13,1,7,14,2,8,4,12,6,3,15,5,10
13,1,7,14,2,10,5,15,3,6,12,4,8
13,1,8,4,12,6,3,15,5,10,2,14,7
13,1,10,5,15,3,6,12,4,8,2,14,7
14,7,1,6,12,4,8,2,10,5,15,3,9
14,7,1,8,4,12,6,2,10,5,15,3,9
14,7,1,9,3,6,12,4,8,2,10,5,15
14,7,1,9,3,15,5,10,2,6,12,4,8
14,7,1,9,3,15,5,10,2,8,4,12,6
14,7,1,15,5,10,2,8,4,12,6,3,9
15,5,10,1,7,14,2,8,4,12,6,3,9
15,5,10,1,9,3,6,12,4,8,2,14,7
15,5,10,2,8,4,12,6,3,9,1,7,14
15,5,10,2,8,4,12,6,3,9,1,14,7
15,5,10,2,14,7,1,8,4,12,6,3,9
15,5,10,2,14,7,1,9,3,6,12,4,8
