7,14,2,8,16,4,12,6,18,9,3,15,5,10,20,1,11
7,14,2,8,16,4,12,6,18,9,3,15,5,10,20,1,13
7,14,2,8,16,4,12,6,18,9,3,15,5,10,20,1,17
7,14,2,8,16,4,12,6,18,9,3,15,5,10,20,1,19
7,14,2,8,16,4,12,6,18,9,3,15,5,20,10,1,11
7,14,2,8,16,4,12,6,18,9,3,15,5,20,10,1,13
7,14,2,8,16,4,12,6,18,9,3,15,5,20,10,1,17
7,14,2,8,16,4,12,6,18,9,3,15,5,20,10,1,19
7,14,2,8,16,4,20,10,5,15,3,9,18,6,12,1,11
7,14,2,8,16,4,20,10,5,15,3,9,18,6,12,1,13
7,14,2,8,16,4,20,10,5,15,3,9,18,6,12,1,17
7,14,2,8,16,4,20,10,5,15,3,9,18,6,12,1,19
7,14,2,8,16,4,20,10,5,15,3,12,6,18,9,1,11
7,14,2,8,16,4,20,10,5,15,3,12,6,18,9,1,13
7,14,2,8,16,4,20,10,5,15,3,12,6,18,9,1,17
7,14,2,8,16,4,20,10,5,15,3,12,6,18,9,1,19
7,14,2,10,20,5,15,3,9,18,6,12,4,8,16,1,11
7,14,2,10,20,5,15,3,9,18,6,12,4,8,16,1,13
7,14,2,10,20,5,15,3,9,18,6,12,4,8,16,1,17
7,14,2,10,20,5,15,3,9,18,6,12,4,8,16,1,19
7,14,2,10,20,5,15,3,9,18,6,12,4,16,8,1,11
7,14,2,10,20,5,15,3,9,18,6,12,4,16,8,1,13
7,14,2,10,20,5,15,3,9,18,6,12,4,16,8,1,17
7,14,2,10,20,5,15,3,9,18,6,12,4,16,8,1,19
7,14,2,12,6,18,9,3,15,5,10,20,4,8,16,1,11
7,14,2,12,6,18,9,3,15,5,10,20,4,8,16,1,13
7,14,2,12,6,18,9,3,15,5,10,20,4,8,16,1,17
7,14,2,12,6,18,9,3,15,5,10,20,4,8,16,1,19
7,14,2,12,6,18,9,3,15,5,10,20,4,16,8,1,11
7,14,2,12,6,18,9,3,15,5,10,20,4,16,8,1,13
7,14,2,12,6,18,9,3,15,5,10,20,4,16,8,1,17
7,14,2,12,6,18,9,3,15,5,10,20,4,16,8,1,19
